\ipa{maqhu}  &	\ipa{}  &	\ipa{kə-mɐʁû,<mɐʁoʔ}  &	\ipa{*qho}  &	\zh{后来}  &	après  &	\ipa{}  &	\zh{後}  &	\ipa{*ˁgoʔ}  &	\ipa{o}  &	  \\	
\ipa{tɯ-skʰrɯ}  &	\ipa{ta-skhrú}  &	\ipa{}  &	\ipa{*skhru}  &	\zh{身体}  &	corps  &	\ipa{sku}  &	\zh{軀}  &	\ipa{*kh(r)o}  &	\ipa{o}  &	  \\	
\ipa{kɤɣ}  &	\ipa{}  &	\ipa{}  &	\ipa{*k[ɐ,o]k}  &	\zh{(使)弯曲}  &	courber  &	\ipa{}  &	\zh{曲}  &	\ipa{*khok}  &	\ipa{ok}  &	  \\	
\ipa{ɯ-rqhu}  &	\ipa{tə-rkʰó}  &	\ipa{}  &	\ipa{*rqho}  &	\zh{壳}  &	écorce  &	\ipa{skogs-pa}  &	\zh{殼}  &	\ipa{*ˁkhrok}  &	\ipa{ok}  &	  \\	
\ipa{ʁndɯ}  &	\ipa{}  &	\ipa{kɐ-ɣdoʔ,ɣdû,ɣdə̂m}  &	\ipa{*qndu}  &	\zh{打}  &	frapper  &	\ipa{rduŋ}  &	\zh{撞}  &	\ipa{*ˁdroŋ-s}  &	\ipa{oŋ}  &	  \\	
\ipa{qhrɯt}  &	\ipa{}  &	\ipa{ka-kʰrôt}  &	\ipa{*qhrot}  &	\zh{刮}  &	gratter  &	\ipa{}  &	\zh{刮}  &	\ipa{*ˁkhrot}  &	\ipa{ot}  &	  \\	
\ipa{skɯ}  &	\ipa{ka-səkú}  &	\ipa{kɐ-skûs,skʰoʔ}  &	\ipa{*sə-ku}  &	\zh{埋}  &	enterrer  &	\ipa{rko}  &	\zh{掘}  &	\ipa{*kot}  &	\ipa{ot}  &	  \\	
\ipa{tɯ-rnoʁ}  &	\ipa{tə-rnók}  &	\ipa{tə-rnôχ}  &	\ipa{*rnoq}  &	\zh{脑子}  &	cerveau  &	\ipa{}  &	\zh{腦}  &	\ipa{*ˁnuʔ}  &	\ipa{u}  &	  \\	
\ipa{tɯ-ndzrɯ}  &	\ipa{tə-ndzrúʔ}  &	\ipa{tə-ndzrû}  &	\ipa{*ndzru}  &	\zh{指甲}  &	ongle  &	\ipa{}  &	\zh{爪}  &	\ipa{*tsruʔ}  &	\ipa{u}  &	  \\	
\ipa{ngɯt}  &	\ipa{kə-ŋgû}  &	\ipa{kə-ngít}  &	\ipa{*ng?11}  &	\zh{九}  &	neuf  &	\ipa{dgu}  &	\zh{九}  &	\ipa{*kuʔ}  &	\ipa{u}  &	  \\	
\ipa{tɯ-zgrɯ (tɯ-ɣru)}  &	\ipa{tə-krú}  &	\ipa{tə-krəvzuʔ}  &	\ipa{*[s]kru}  &	\zh{肘}  &	coude  &	\ipa{gru-mo}  &	\zh{肘}  &	\ipa{*t-r-kuʔ}  &	\ipa{u}  &	  \\	
\ipa{ɕku}  &	\ipa{ɕkó}  &	\ipa{skwəʔ}  &	\ipa{*ɕko}  &	\zh{葱}  &	oignon  &	\ipa{sgog-pa}  &	\zh{韭}  &	\ipa{*kuʔ}  &	\ipa{u}  &	1  \\	
\ipa{stʰoʁ}  &	\ipa{}  &	\ipa{kɐ-stɐ̂χ,stɐ̂χ,stə́χ}  &	\ipa{*st[h]oq}  &	\zh{按}  &	appuyer  &	\ipa{}  &	\zh{蹙}  &	\ipa{*sthuk}  &	\ipa{uk}  &	  \\	
\ipa{tɤ-ndɤɣ}  &	\ipa{}  &	\ipa{tə-dók}  &	\ipa{*ndɔk}  &	\zh{毒}  &	poison  &	\ipa{dug}  &	\zh{毒}  &	\ipa{*ˁluk}  &	\ipa{uk}  &	  \\	
\ipa{kɯtʂɤɣ}  &	\ipa{kə-t􀄅ók}  &	\ipa{kə-tɕôx}  &	\ipa{*trɔk}  &	\zh{六}  &	six  &	\ipa{drug}  &	\zh{六}  &	\ipa{*Cə-ruk}  &	\ipa{uk}  &	  \\	
\ipa{}  &	\ipa{tɯ-pók}  &	\ipa{}  &	\ipa{*poq}  &	\zh{肚子}  &	ventre  &	\ipa{bug}  &	\zh{腹}  &	\ipa{*puk}  &	\ipa{uk}  &	  \\	
\ipa{tɤ-khɯ}  &	\ipa{ta-kʰə̂}  &	\ipa{tɐ-kə́t}  &	\ipa{*k[h]ə}  &	\zh{烟}  &	fumée  &	\ipa{}  &	\zh{熏}  &	\ipa{*xun}  &	\ipa{un}  &	  \\	
\ipa{tɯ-jmŋo}  &	\ipa{ta-rmô}  &	\ipa{tə-lmɐʔ}  &	\ipa{*lmaˠŋ}  &	\zh{梦}  &	rêve  &	\ipa{rmaŋ-lam}  &	\zh{夢}  &	\ipa{*muŋs}  &	\ipa{uŋ}  &	  \\	
